05-16 17:03:17.855  9953  9969 I TestRunner: started: testEdgeCase_queuedEventsLimit(com.example.analytics.AnalyticsIntegrationTest)
05-16 17:03:17.858   877  1109 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=521, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10220 RequestorUid: 10220 RequestorPkg: com.example.analytics.test UnderlyingNetworks: Null] ]
05-16 17:03:17.858   877  1109 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=521, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10220 RequestorUid: 10220 RequestorPkg: com.example.analytics.test UnderlyingNetworks: Null] ]
05-16 17:03:17.858   877  1119 D ConnectivityService: NetReassign [521 : null → 101] [c 1] [a 1] [i 0]
05-16 17:03:17.859   877  1109 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=521, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10220 RequestorUid: 10220 RequestorPkg: com.example.analytics.test UnderlyingNetworks: Null] ]
05-16 17:03:17.859   877  1109 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=521, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10220 RequestorUid: 10220 RequestorPkg: com.example.analytics.test UnderlyingNetworks: Null] ]
05-16 17:03:17.988  9953  9969 D AnalyticsSDK: AnalyticsSDK initialized with endpoint: https://api.dummy.com/events
05-16 17:03:18.065  9953  9969 W WM-WorkSpec: Interval duration lesser than minimum allowed value; Changed to 900000
05-16 17:03:18.082  9953  9969 D AnalyticsSDK: Event: spam_event_1
05-16 17:03:18.082  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.082  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.089  9953  9969 D AnalyticsSDK: Event: spam_event_2
05-16 17:03:18.089  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.089  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.093  9953  9969 D AnalyticsSDK: Event: spam_event_3
05-16 17:03:18.093  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.093  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.093  9953  9969 D AnalyticsSDK: Event: spam_event_4
05-16 17:03:18.093  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.093  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.095  9953  9969 D AnalyticsSDK: Event: spam_event_5
05-16 17:03:18.095  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.095  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.096  9953  9969 D AnalyticsSDK: Event: spam_event_6
05-16 17:03:18.096  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.096  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.098  9953  9969 D AnalyticsSDK: Event: spam_event_7
05-16 17:03:18.098  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.098  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.099  9953  9969 D AnalyticsSDK: Event: spam_event_8
05-16 17:03:18.099  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.099  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.103  9953  9969 D AnalyticsSDK: Event: spam_event_9
05-16 17:03:18.103  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.103  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.108  9953  9969 D AnalyticsSDK: Event: spam_event_10
05-16 17:03:18.108  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.108  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.108  9953  9969 D AnalyticsSDK: Event: spam_event_11
05-16 17:03:18.108  9953  9969 D AnalyticsSDK: Properties:
05-16 17:03:18.108  9953  9969 D AnalyticsSDK: {}
05-16 17:03:18.109  9953  9969 D AnalyticsSDK: Event: spam_event_12
